Advisory,Advisory ID,Published Date,Updated Date,URL,CVE IDs,Description,CVSS Base Score 3.1,CVSS Vector 3.1,CVSS Base Score 4.0,CVSS Vector 4.0,Affected Products,Recommendation
Intel® Graphics Driver Advisory,INTEL-SA-01191,"November 12, 2024","November 12, 2024",https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-01191.html,['CVE-2024-38387'],Uncontrolled search path in the Intel® Graphics Driver installers for versions 15.40 and 15.45 may allow an authenticated user to potentially enable escalation of privilege via local access.,6.7 Medium,CVSS:3.1/AV:L/AC:H/PR:L/UI:R/S:U/C:H/I:H/A:H,5.4 Medium,CVSS:4.0/AV:L/AC:H/AT:P/PR:L/UI:A/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,"Intel® Graphics Driver for Windows 7 & 8.1 [15.40 6th Gen], all versions: 6th Generation Intel® Core™ processors with Intel® HD Graphics 520/530.
6th Generation Intel® Core™ processors with Intel® Iris™ Graphics 540/550.
Intel® Xeon® processor E3-1500M v5 family with Intel® HD Graphics P530.
Intel® Core™ M with Intel® HD Graphics 515.
Pentium Processors with Intel® HD Graphics 510. Intel® Graphics Driver for Windows 10 [15.40 4th Gen], all versions: 6th Generation Intel® Core™ processors, Intel Core™ M, and related Pentium® processors with Intel® HD Graphics 510, 515, 520, 530.
5th Generation Intel® Core™ processors with Intel HD Graphics 5500, 5600, 6000, Intel Iris™ Graphics 6100, Iris Pro Graphics 6200 and select Pentium®/ Celeron® processors with Intel® HD Graphics.
Intel® Core™ M with Intel HD Graphics 5300.
4th Generation Intel® Core™ Processors with Intel HD Graphics 4200, 4400, 4600, 5000, Intel Iris™ Graphics 5100 and Intel Iris Pro Graphics 5200 and select Pentium®/ Celeron® Processors with Intel® HD Graphics. Intel® Graphics Driver for Windows [15.45], all versions: 6th Generation Intel® Core™ processors with Intel® Iris™ Pro Graphics, Intel® Iris™ Graphics 540/550, Intel® HD Graphics 520/530. 
Intel® Core™ M processors with Intel® HD Graphics 515.
Intel® Xeon® processor E3-1500M v5 family with Intel® HD Graphics P530, Intel® Iris Pro Graphics P580. 
Pentium® and Celeron® Processors with Intel® HD Graphics 500/505.
Pentium Processors with Intel® HD Graphics 510.","Intel has issued a product discontinuation notice for Intel® Graphics Drivers for versions 15.40 and 15.45.  As of June 15, 2024, the Intel® Graphics Drivers for versions 15.40 and 15.45 are not supported with any additional functional, security, or other updates. Intel recommends that users of the Intel® Graphics Drivers for versions 15.40 and 15.45 uninstall it or discontinue use as soon as possible.  Product discontinuation notices https://www.intel.com/content/www/us/en/download/18563/intel-graphics-driver-for-windows-7-8-1-15-40-6th-gen.html Intel® Graphics Driver for Windows® 7 & 8.1* [15.40 6th Gen] This download installs the Intel® Graphics Driver for 6th Gen.  https://www.intel.com/content/www/us/en/download/18799/intel-graphics-driver-for-windows-15-45.html Intel® Graphics Driver for Windows* [15.45] This download installs the Intel® Graphics Driver for 6th Gen on Windows 7* and Windows 8.1*/10* 64-bit.  https://www.intel.com/content/www/us/en/download/18388/intel-graphics-driver-for-windows-10-15-40-4th-gen.html Intel® Graphics Driver for Windows® 10 [15.40][4th Gen] This download installs version 15.40.7.64.4279 of the Intel® Graphics Driver for Windows® 10, 64-bit. "
Intel® Extension for Transformers Software Advisory,INTEL-SA-01190,"November 12, 2024","November 12, 2024",https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-01190.html,['CVE-2024-21799'],Path traversal for some Intel® Extension for Transformers software before version 1.5 may allow an authenticated user to potentially enable escalation of privilege via local access.,7.1 High,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:H,6.9 Medium,CVSS:4.0/AV:L/AC:L/AT:N/PR:L/UI:N/VC:N/VI:H/VA:H/SC:N/SI:N/SA:N,Intel® Extension for Transformers software before version 1.5.,Intel recommends updating Intel® Extension for Transformers software to version 1.5 or later. Updates are available for download at this location: https://github.com/intel/intel-extension-for-transformers/tags
Intel® Optane™ PMem Management Software Advisory,INTEL-SA-01189,"November 12, 2024","November 12, 2024",https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-01189.html,['CVE-2024-36275'],NULL pointer dereference in some Intel® Optane™ PMem Management software before version CR_MGMT_02.00.00.4040 or CR_MGMT_03.00.00.0499 may allow a authenticated user to potentially enable denial of service via local access.,6.1 Medium,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:H,5.8 Medium,CVSS:4.0/AV:L/AC:L/AT:P/PR:L/UI:N/VC:N/VI:L/VA:H/SC:N/SI:N/SA:N,Intel® Series management software on Optane™ PMem before version CR_MGMT_02.00.00.4040 or CR_MGMT_03.00.00.0499,"Intel recommends updating Intel® Series management software on Optane™ PMem to version CR_MGMT_02.00.00.4040, CR_MGMT_03.00.00.0499 or later. Updates are available for download at this location: https://github.com/intel/ipmctl/releases"
Intel® SGX SDK Advisory,INTEL-SA-01188,"November 12, 2024","November 12, 2024",https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-01188.html,['CVE-2024-34776'],Out-of-bounds write in some Intel® SGX SDK software may allow an authenticated user to potentially enable escalation of privilege via local access.,4.5 Medium,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:L/I:L/A:L,2.0 Low,CVSS:4.0/AV:L/AC:H/AT:N/PR:L/UI:N/VC:L/VI:L/VA:L/SC:N/SI:N/SA:N,Intel® SGX SDK software for Linux before version 2.24.,Intel recommends updating Intel® SGX SDK software for Linux to version 2.24 or later. Updates are available for download at this location: https://github.com/intel/linux-sgx/releases
Intel® VTune™ Profiler Advisory,INTEL-SA-01187,"November 12, 2024","November 12, 2024",https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-01187.html,"['CVE-2024-36245', 'CVE-2024-37027']",Improper Input validation in some Intel® VTune™ Profiler software before version 2024.2.0 may allow an authenticated user to potentially enable denial of service via local access.,6.1 Medium,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:L/I:L/A:H,5.2 Medium,CVSS:4.0/AV:L/AC:L/AT:N/PR:L/UI:P/VC:L/VI:L/VA:H/SC:N/SI:N/SA:N,"Intel® VTune™ Profiler software before version 2024.2.0.

Intel® oneAPI Base Toolkit before version 2024.2.0.

Intel® System Bring-up Toolkit before version 2024.2.0.",Intel recommends updating Intel® VTune™ Profiler software to version 2024.2.0. or later. Updates are available for download at this location: https://www.intel.com/content/www/us/en/developer/tools/oneapi/vtune-profiler-download.html Intel recommends updating Intel® oneAPI Base Toolkit to version 2024.2.0. or later. Updates are available for download at this location: https://www.intel.com/content/www/us/en/developer/tools/oneapi/base-toolkit-download.html Intel recommends updating Intel® System Bring-up Toolkit to version 2024.2.0. or later. Updates are available for download at this location: https://www.intel.com/content/www/us/en/developer/articles/tool/oneapi-standalone-components.html#vtune
Intel® Server Board S2600ST Family BIOS and Firmware Update software Advisory,INTEL-SA-01183,"November 12, 2024","November 12, 2024",https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-01183.html,"['CVE-2024-36282', 'CVE-2024-34167']",Uncontrolled search path for the Intel® Server Board S2600ST Family BIOS and Firmware Update software all versions may allow an authenticated user to potentially enable escalation of privilege via local access.,6.7 Medium,CVSS:3.1/AV:L/AC:H/PR:L/UI:R/S:U/C:H/I:H/A:H,5.4 Medium,CVSS:4.0/AV:L/AC:H/AT:P/PR:L/UI:A/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,Intel® Server Board S2600ST Family BIOS and Firmware Update software all versions.,"Intel has issued a Product Discontinuation Notice for Intel® Server Board S2600ST Family BIOS and Firmware Update software as of February 17, 2024, the Intel® Server Board S2600ST Family BIOS and Firmware Update software is not supported with any additional functional, security, or other updates. Intel recommends that users of the Intel® Server Board S2600ST Family BIOS and Firmware Update software uninstall it or discontinue use as soon as possible. https://www.intel.com/content/www/us/en/download/19040/intel-server-board-s2600st-family-bios-and-firmware-update-package-for-uefi.html"
Intel® CIP Software Advisory,INTEL-SA-01182,"November 12, 2024","November 12, 2024",https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-01182.html,"['CVE-2024-36276', 'CVE-2024-36482']",Improper input validation in some Intel® CIP software before version 2.4.10852 may allow a privileged user to potentially enable escalation of privilege via local access.,8.2 High,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H,7.1 High,CVSS:4.0/AV:L/AC:L/AT:P/PR:H/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,Intel® CIP software before version 2.4.10852.,Intel recommends updating Intel® CIP software to version 2.4.10852 or later. Updates are available for download at this location: https://www.intel.com/content/www/us/en/download/19296
Intel® SDP Tool for Windows Software Advisory,INTEL-SA-01179,"November 12, 2024","November 12, 2024",https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-01179.html,"['CVE-2024-35201', 'CVE-2024-36253']",Uncontrolled search path in the Intel® SDP Tool for Windows software all version may allow an authenticated user to potentially enable escalation of privilege via local access.,6.7 Medium,CVSS:3.1/AV:L/AC:H/PR:L/UI:R/S:U/C:H/I:H/A:H,5.4 Medium,CVSS:4.0/AV:L/AC:H/AT:P/PR:L/UI:A/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,Intel® SDP Tool for Windows software all versions.,"Intel has issued a product discontinuation notice for Intel® SDP Tool for Windows software as of November 12, 2024 the Intel® SDP Tool for Windows software is not supported with any additional functional, security, or other updates. Intel recommends that users of the Intel® SDP Tool for Windows software uninstall it or discontinue use as soon as possible."
Intel® QuickAssist Technology Engine for OpenSSL Advisory,INTEL-SA-01177,"November 12, 2024","November 12, 2024",https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-01177.html,"['CVE-2024-33617', 'CVE-2024-28885', 'CVE-2024-31074']",Observable timing discrepancy in some Intel® QAT Engine for OpenSSL software before version v1.6.1 may allow information disclosure via network access.,5.9 Medium,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N,8.2 High,CVSS:4.0/AV:N/AC:H/AT:P/PR:N/UI:N/VC:H/VI:N/VA:N/SC:N/SI:N/SA:N,Intel® QAT Engine for OpenSSL software before version v1.6.1.,Intel recommends updating Intel® QAT Engine for OpenSSL software to version v1.6.1. or later. Updates are available for download at this location: https://github.com/intel/QAT_Engine/releases/tag/v1.6.1
ACAT Software Advisory,INTEL-SA-01176,"November 12, 2024","November 12, 2024",https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-01176.html,['CVE-2024-37024'],Uncontrolled search path for some ACAT software maintained by Intel® for Windows before version 3.11.0 may allow an authenticated user to potentially enable escalation of privilege via local access.,6.7 Medium,CVSS:3.1/AV:L/AC:H/PR:L/UI:R/S:U/C:H/I:H/A:H,5.4 Medium,CVSS:4.0/AV:L/AC:H/AT:P/PR:L/UI:P/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,ACAT software maintained by Intel® before version 3.11.0.,Intel recommends updating ACAT software maintained by Intel® to version 3.11.0 or later. Updates are available for download at this location: https://github.com/intel/acat/releases/
Intel® Server Products UEFI Firmware Advisory,INTEL-SA-01175,"November 12, 2024","November 12, 2024",https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-01175.html,"['CVE-2024-31158', 'CVE-2024-31154', 'CVE-2024-41167', 'CVE-2022-34301(Non-Intel issued)', 'CVE-2024-40885', 'CVE-2024-39811', 'CVE-2024-39609', 'CVE-2024-39285']",Improper access control in UEFI firmware in some Intel® Server M20NTP Family may allow a privileged user to potentially enable information disclosure via local access.,5.3 Medium,CVSS:3.1/AV:L/AC:H/PR:H/UI:N/S:C/C:H/I:N/A:N,5.6 Medium,CVSS:4.0/AV:L/AC:H/AT:P/PR:H/UI:N/VC:H/VI:N/VA:N/SC:L/SI:N/SA:N,Intel® Server Board M70KLP Family Intel® Server Board M10JNP2SB Family Intel® Server Board M20NTP Family Intel® Server Board S2600BPBR Family Intel® Server Board S2600BP Family,"Intel recommends updating Intel® Server Board M70KLPto version v01.04.0030 or later. https://www.intel.com/content/www/us/en/download/19778/intel-server-system-m70klp-family-bios-and-firmware-update-package-for-uefi.html Intel has issued a product discontinuation notice for Intel® Server Board S2600BP, S2600BPBR, M20NTP, and M10JNP2SB as of dates listed in PDN links below, the Intel®Server Board S2600BP, S2600BPBR, M20NTP, and M10JNP2SB is not supported with any additional functional, security, or other updates. Intel recommends that users of the Intel®Server Board S2600BP, S2600BPBR, M20NTP, and M10JNP2SB uninstall it or discontinue use as soon as possible. https://ark.intel.com/content/www/us/en/ark/products/series/93091/intel-server-board-s2600bpr.html https://ark.intel.com/content/www/us/en/ark/products/213322/intel-compute-module-liquid-cooled-hns2600bpbrct.html https://ark.intel.com/content/www/us/en/ark/products/215605/intel-server-system-m20ntp1ur304.html https://ark.intel.com/content/www/us/en/ark/products/197377/intel-server-board-m10jnp2sb.html"
Intel® Fortran Compiler Classic Software Advisory,INTEL-SA-01173,"November 12, 2024","November 12, 2024",https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-01173.html,['CVE-2024-28881'],Uncontrolled search path for some Intel® Fortran Compiler Classic software before version 2021.13 may allow an authenticated user to potentially enable escalation of privilege via local access.,6.7 Medium,CVSS:3.1/AV:L/AC:H/PR:L/UI:R/S:U/C:H/I:H/A:H,5.4 Medium,CVSS:4.0/AV:L/AC:H/AT:P/PR:L/UI:A/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,Intel® Fortran Compiler Classic before version 2021.13. Intel® oneAPI HPC Toolkit before version 2024.2.,Intel recommends updating Intel® Fortran Compiler to version 2021.13 or later. Updates are available for download at this location: https://www.intel.com/content/www/us/en/developer/tools/oneapi/fortran-compiler.html#gs.7slkch  Intel recommends updating Intel® oneAPI HPC Toolkit to version 2024.2 or later. Updates are available for download at this location: https://www.intel.com/content/www/us/en/developer/tools/oneapi/hpc-toolkit-download.html
Intel® PROSet/Wireless WiFi Advisory,INTEL-SA-01167,"November 12, 2024","November 12, 2024",https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-01167.html,"['CVE-2024-33624', 'CVE-2024-33611', 'CVE-2024-35245']",Uncontrolled search path element in some Intel® PROSet/Wireless WiFi software for Windows before version 23.60 may allow an authenticated user to potentially enable escalation of privilege via local access.,6.7 Medium,CVSS:3.1/AV:L/AC:H/PR:L/UI:R/S:U/C:H/I:H/A:H,5.4 Medium,CVSS:4.0/AV:L/AC:H/AT:P/PR:L/UI:A/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,"CVE-2024-33624

Intel® Wi-Fi 6E AX210 (TyP2) & Intel® Killer™ Wi-Fi AX1675x/w2 

Intel® Wi-Fi 6E AX211 (GfP2) & Intel® Killer™ Wi-Fi AX1675i/s2 CVE-2024-33611

Intel® Wi-Fi 6 AX200 (CcP2) & Intel® Killer™ Wi-Fi AX1650x/w2 

Intel® Wi-Fi 6E AX210 (TyP2) & Intel® Killer™ Wi-Fi AX1675x/w2 

Intel® Wi-Fi 6E AX211 (GfP2) & Intel® Killer™ Wi-Fi AX1675i/s2 CVE-2024-35245

Intel® Wireless-AC 9260 (ThP2) & Intel® Killer™ Wi-Fi AX1550x/w2

Intel® Wi-Fi 6 AX200 (CcP2) & Intel® Killer™ Wi-Fi AX1650x/w2 

Intel® Wi-Fi 6E AX210 (TyP2) & Intel® Killer™ Wi-Fi AX1675x/w2 

Intel® Wi-Fi 6E AX211 (GfP2) & Intel® Killer™ Wi-Fi AX1675i/s2","Windows OS:

Intel recommends updating Intel® PROSet/Wireless Wi-Fi software to version 23.60 or later.

Updates are available for download at this location:

https://www.intel.com/content/www/us/en/download/19351/823673/intel-wireless-wi-fi-drivers-for-windows-10-and-windows-11.html"
Intel® Distribution for Python Software Advisory,INTEL-SA-01165,"November 12, 2024","November 12, 2024",https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-01165.html,['CVE-2024-29083'],Incorrect default permissions in some Intel® Distribution for Python software before version 2024.2 may allow an authenticated user to potentially enable escalation of privilege via local access.,6.7 Medium,CVSS:3.1/AV:L/AC:H/PR:L/UI:R/S:U/C:H/I:H/A:H,5.4 Medium,CVSS:4.0/AV:L/AC:H/AT:P/PR:L/UI:A/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,Intel® Distribution for Python software before version 2024.2.,Intel recommends updating Intel® Distribution for Python software to version 2024.2 or later. Updates are available for download at this location: https://www.intel.com/content/www/us/en/developer/tools/oneapi/distribution-python-download.html 
